iter	MAE
0	5852576.232
1	5456667.755
2	5095104.915
3	4753671.293
4	4439168.056
5	4149868.685
6	3878708.529
7	3634520.843
8	3405075.486
9	3193320.871
10	2988504.2
11	2801066.057
12	2631839.418
13	2473760.99
14	2323110.498
15	2190412.393
16	2062174.647
17	1939266.05
18	1826498.563
19	1722353.62
20	1623804.811
21	1534644.342
22	1452932.727
23	1376878.173
24	1313424.693
25	1251310.616
26	1188987.708
27	1137725.574
28	1087943.948
29	1038578.964
30	990041.4166
31	970511.752
32	925876.3634
33	893544.3427
34	855574.0599
35	813065.3913
36	776997.2092
37	742562.2611
38	713818.2004
39	683233.4442
40	673240.1538
41	648074.7037
42	642174.589
43	621242.6732
44	614601.3453
45	609848.0506
46	588251.5104
47	584198.664
48	561991.2346
49	558517.3625
50	541608.6072
51	539664.4831
52	526192.9857
53	521182.4343
54	519101.8127
55	517477.0519
56	501803.2737
57	487378.232
58	483995.385
59	468149.6831
60	461569.4617
61	458343.057
62	457119.2165
63	454684.2957
64	445293.8203
65	435507.9968
66	434802.6571
67	432301.9723
68	429263.049
69	422342.1682
70	421527.4751
71	419265.2425
72	404319.6457
73	391553.2142
74	379801.8323
75	377439.1708
76	368236.4501
77	367631.3851
78	366979.1798
79	364797.1307
80	363338.4192
81	354957.7984
82	354542.0117
83	353380.847
84	347372.2383
85	346921.1648
86	346186.8764
87	345304.944
88	343502.104
89	343087.7768
90	342098.6424
91	341364.7684
92	340273.3576
93	339779.0969
94	338586.2507
95	338336.9503
96	337525.5607
97	332228.3553
98	331711.4261
99	330840.8434
100	329942.3693
101	329396.1728
102	328897.0257
103	328208.8139
104	327033.2473
105	326736.1042
106	323135.6289
107	322518.5891
108	322062.9521
109	321504.2419
110	321398.9501
111	320829.3631
112	319639.6924
113	319184.5756
114	315665.8829
115	315341.4016
116	315188.2272
117	315011.0045
118	314863.4283
119	314510.4391
120	314385.1993
121	313605.53
122	313189.5739
123	312736.1007
124	309982.4283
125	309894.8803
126	309261.2185
127	308156.414
128	308004.5728
129	307825.8651
130	307754.3515
131	307412.5023
132	306678.9081
133	306600.0987
134	306265.0892
135	305844.0988
136	305715.6676
137	305003.5667
138	304645.1094
139	304123.9738
140	303932.8155
141	303409.8998
142	303199.5309
143	302672.2687
144	302241.9887
145	301068.8976
146	300901.9135
147	300558.8193
148	300488.4688
149	300209.3625
150	299924.379
151	299423.6264
152	298928.7079
153	298502.9879
154	298069.4619
155	297841.2274
156	297339.7889
157	297287.0371
158	296952.2996
159	290440.189
160	290079.6732
161	289680.0317
162	289570.7727
163	289465.5153
164	289268.7156
165	289083.0961
166	288986.4801
167	288933.5555
168	288878.3031
169	288408.4438
170	287944.0479
171	287685.8565
172	287267.6827
173	287223.5446
174	286969.7187
175	286672.9809
176	286545.932
177	285011.9921
178	284956.7517
179	284887.3417
180	284466.8738
181	284021.7239
182	278038.3323
183	277721.8349
184	277300.3413
185	277169.0884
186	276899.1479
187	276864.4727
188	276669.4211
189	276306.1236
190	276034.541
191	275818.7096
192	275506.8659
193	275292.3779
194	275196.2691
195	274586.458
196	274229.8272
197	274158.8766
198	274043.1128
199	273522.4707
200	273346.6252
201	273301.304
202	272970.8504
203	272714.7247
204	272619.4373
205	267798.262
206	267767.5444
207	267581.2945
208	264917.1411
209	264722.429
210	264600.0285
211	264515.0185
212	264361.3048
213	264281.5049
214	264218.353
215	264168.6816
216	264093.3623
217	257923.0469
218	257832.4945
219	256271.5237
220	256217.9795
221	256157.0896
222	251425.6751
223	251213.7286
224	250937.6048
225	250858.1709
226	250803.8007
227	250744.6977
228	250691.5998
229	250651.6744
230	250490.7998
231	250222.6191
232	250028.1125
233	249994.1083
234	249898.3694
235	249745.9877
236	249487.2697
237	249331.2478
238	249028.8787
239	248831.3088
240	248676.73
241	248367.5355
242	248344.4214
243	248174.3716
244	248039.9839
245	247989.8747
246	247772.7877
247	247445.4137
248	247416.3777
249	247290.0601
250	247156.5166
251	247131.9044
252	246920.3573
253	246632.3076
254	246327.5139
255	245975.2213
256	245945.0981
257	245866.6654
258	245720.6547
259	242250.4233
260	242156.3355
261	241971.8607
262	240884.3349
263	240661.809
264	240436.766
265	240370.3688
266	240244.2288
267	240206.2398
268	240153.1774
269	240053.1558
270	239799.1113
271	239596.1145
272	239557.2287
273	239287.7826
274	239111.6077
275	239030.8647
276	239012.313
277	235602.688
278	235449.3826
279	235290.5369
280	235242.457
281	235210.1251
282	235065.8902
283	235044.2645
284	234918.8987
285	234724.2965
286	234680.5421
287	234486.1103
288	234229.0263
289	234131.1783
290	234040.269
291	233915.3268
292	233828.3962
293	233688.1034
294	233452.1881
295	233271.1612
296	230854.9883
297	230819.3177
298	230758.234
299	230619.2923
300	230489.4933
301	230234.8574
302	229966.3575
303	229891.0942
304	229750.0984
305	229626.1398
306	225518.3201
307	225469.8461
308	225269.0187
309	225002.3544
310	224961.5022
311	224837.2666
312	224614.8171
313	224550.8075
314	224178.0833
315	224025.0163
316	223973.4072
317	223930.9645
318	223914.9096
319	223761.5644
320	223709.2161
321	223690.7708
322	223646.3592
323	223525.8605
324	223495.2582
325	223461.0122
326	223434.2955
327	223287.1714
328	223176.9509
329	222445.9911
330	222219.8428
331	222088.9683
332	222012.5177
333	221812.894
334	221635.1386
335	221536.5586
336	221435.2206
337	221401.4235
338	221321.33
339	221246.7927
340	221177.2011
341	220976.2239
342	220855.7636
343	220244.3022
344	220196.0272
345	220000.0515
346	219876.7109
347	219685.9889
348	219584.39
349	219487.1584
350	219321.7597
351	219188.7433
352	219079.0367
353	218992.0942
354	218933.3162
355	218855.75
356	218634.1499
357	218607.5507
358	218517.5218
359	218339.0941
360	218297.2409
361	218227.8398
362	218117.6294
363	218053.6194
364	218004.4323
365	215904.464
366	215832.0497
367	215786.8554
368	215754.6361
369	215728.7849
370	215677.5974
371	215659.2618
372	215611.897
373	215499.9774
374	215421.1717
375	215407.6471
376	215387.9452
377	215267.5815
378	215200.2043
379	215091.0102
380	215040.6965
381	214978.166
382	214906.1432
383	214847.2579
384	214672.4527
385	214647.416
386	214593.7843
387	214410.341
388	214350.4608
389	214204.7465
390	214040.8297
391	213918.0311
392	210301.9425
393	210079.4509
394	209940.5236
395	209893.2431
396	209872.3999
397	209773.021
398	207256.155
399	207137.4167
400	207106.8441
401	207084.9266
402	207041.3396
403	206954.541
404	206908.6338
405	206632.7815
406	206613.5552
407	206531.2117
408	206482.8166
409	206391.549
410	206364.4043
411	206259.191
412	206234.2563
413	206188.0393
414	206027.4602
415	205865.5805
416	203713.0469
417	203671.7227
418	203479.2771
419	203380.791
420	203316.2711
421	203290.4636
422	203248.2082
423	203216.4445
424	203124.325
425	203094.798
426	202992.206
427	202953.0147
428	202895.3443
429	202792.4662
430	202777.1735
431	201989.6646
432	201820.6858
433	201798.7452
434	201776.6626
435	201724.3628
436	201699.6056
437	201662.202
438	201558.2966
439	199458.7498
440	199281.0576
441	199235.8709
442	199133.2244
443	199114.4538
444	198970.4294
445	198925.8853
446	198682.5314
447	198506.0186
448	198463.4134
449	198414.0945
450	198221.7266
451	198136.3483
452	196988.7787
453	196907.9
454	196881.9401
455	196818.5461
456	196680.7251
457	196480.059
458	196445.0352
459	196420.3044
460	196350.0726
461	196233.3245
462	194313.5548
463	194283.1023
464	194244.3167
465	194232.0162
466	194211.7531
467	194182.045
468	194172.1078
469	194162.2661
470	193919.4114
471	193862.9006
472	193855.2772
473	193755.5799
474	193687.2236
475	193600.1108
476	193426.5164
477	193222.0609
478	193194.7387
479	193122.5426
480	193088.7303
481	192940.4766
482	192899.0871
483	192791.5887
484	192621.5808
485	192578.9255
486	192484.9048
487	192424.6391
488	192241.9394
489	192110.1929
490	191984.7497
491	191944.8001
492	191845.1409
493	191799.8641
494	191673.6414
495	191580.5082
496	191437.8605
497	191382.1194
498	191349.7426
499	191308.4618
500	191289.8748
501	191192.0102
502	191136.0664
503	190954.9928
504	190914.8484
505	190896.4287
506	190798.7395
507	190739.5452
508	190666.4344
509	190618.3698
510	190593.2219
511	190422.0567
512	190386.0054
513	190239.2089
514	190223.1256
515	190169.5934
516	188871.6886
517	188824.5998
518	188737.0678
519	188629.3201
520	188583.8075
521	188556.9021
522	188524.4881
523	188490.8353
524	188394.6599
525	188379.5569
526	188206.1662
527	187934.8737
528	187900.5665
529	187872.7679
530	186940.3011
531	186859.9179
532	186780.5652
533	186716.7437
534	186636.5034
535	186541.8612
536	186450.3894
537	186421.8471
538	186380.2399
539	186347.097
540	186314.5225
541	186303.0658
542	186231.7893
543	186194.3624
544	186175.548
545	186111.8649
546	185924.8803
547	185899.2781
548	185848.4799
549	185827.6513
550	185790.572
551	185754.0179
552	185699.4276
553	185688.6403
