iter	Passed	Remaining
0	21	42284
1	43	43735
2	65	43270
3	86	42945
4	107	42727
5	128	42623
6	148	42312
7	168	42071
8	189	41850
9	209	41654
10	229	41473
11	249	41349
12	269	41124
13	289	41034
14	309	40906
15	329	40818
16	348	40671
17	368	40601
18	388	40539
19	408	40452
20	428	40396
21	448	40288
22	467	40175
23	487	40124
24	506	40048
25	526	39949
26	545	39856
27	565	39799
28	584	39755
29	604	39695
30	624	39635
31	643	39547
32	662	39493
33	680	39362
34	699	39266
35	718	39198
36	737	39136
37	756	39051
38	775	38986
39	794	38927
40	812	38826
41	832	38790
42	851	38757
43	870	38712
44	890	38671
45	908	38603
46	928	38575
47	947	38536
48	966	38483
49	985	38438
50	1004	38397
51	1025	38425
52	1044	38374
53	1064	38371
54	1084	38338
55	1103	38316
56	1123	38284
57	1142	38246
58	1161	38215
59	1180	38179
60	1199	38141
61	1219	38126
62	1239	38119
63	1258	38070
64	1277	38023
65	1296	37981
66	1316	37970
67	1335	37949
68	1354	37916
69	1374	37888
70	1395	37902
71	1415	37899
72	1434	37864
73	1453	37829
74	1472	37806
75	1493	37803
76	1512	37766
77	1532	37771
78	1553	37768
79	1572	37747
80	1593	37746
81	1612	37724
82	1632	37701
83	1652	37687
84	1670	37642
85	1691	37636
86	1712	37654
87	1732	37651
88	1751	37613
89	1772	37605
90	1791	37585
91	1811	37570
92	1830	37542
93	1851	37538
94	1871	37523
95	1891	37505
96	1910	37480
97	1929	37442
98	1948	37410
99	1969	37419
100	1989	37400
101	2009	37386
102	2030	37391
103	2051	37396
104	2072	37395
105	2091	37365
106	2110	37337
107	2130	37322
108	2152	37344
109	2173	37346
110	2193	37330
111	2215	37340
112	2234	37309
113	2253	37282
114	2273	37259
115	2294	37261
116	2315	37263
117	2335	37256
118	2356	37256
119	2378	37257
120	2397	37238
121	2418	37224
122	2439	37221
123	2460	37223
124	2480	37201
125	2500	37191
126	2520	37172
127	2539	37139
128	2560	37136
129	2582	37141
130	2602	37130
131	2624	37137
132	2646	37143
133	2666	37136
134	2686	37119
135	2708	37125
136	2728	37100
137	2748	37078
138	2767	37058
139	2790	37071
140	2811	37070
141	2831	37049
142	2852	37042
143	2871	37015
144	2893	37016
145	2913	37000
146	2935	37001
147	2955	36984
148	2975	36968
149	2995	36948
150	3016	36939
151	3037	36933
152	3057	36912
153	3080	36924
154	3099	36889
155	3120	36881
156	3140	36871
157	3161	36853
158	3183	36862
159	3202	36826
160	3224	36827
161	3244	36812
162	3264	36795
163	3285	36784
164	3305	36762
165	3327	36767
166	3349	36763
167	3370	36751
168	3390	36738
169	3409	36705
170	3430	36696
171	3451	36681
172	3471	36661
173	3491	36644
174	3512	36627
175	3534	36626
176	3555	36616
177	3575	36600
178	3596	36583
179	3616	36571
180	3637	36555
181	3657	36536
182	3677	36513
183	3697	36493
184	3717	36475
185	3738	36460
186	3758	36437
187	3778	36420
188	3798	36399
189	3818	36378
190	3838	36358
191	3860	36355
192	3881	36337
193	3903	36339
194	3923	36320
195	3944	36302
196	3963	36276
197	3984	36260
198	4003	36234
199	4023	36212
200	4043	36193
201	4063	36173
202	4085	36169
203	4107	36161
204	4128	36145
205	4148	36128
206	4168	36109
207	4188	36085
208	4206	36048
209	4229	36050
210	4249	36032
211	4270	36019
212	4292	36015
213	4314	36006
214	4334	35989
215	4354	35965
216	4375	35952
217	4394	35921
218	4415	35909
219	4436	35891
220	4456	35872
221	4477	35860
222	4496	35833
223	4518	35823
224	4539	35812
225	4560	35796
226	4581	35783
227	4602	35772
228	4624	35763
229	4644	35744
230	4667	35743
231	4687	35722
